info,address,occurred_date,recorded_date
女性9Ｆより転落死,兵庫県神戸市中央区加納町三丁目131,令和3年12月2日,令和3年12月3日
告知事項あり,兵庫県神戸市中央区二宮町2丁目620 コスモ三宮アーバンスクエア 802号,不明,平成30年1月19日
マンションから遺体運んでいくのを見た,兵庫県神戸市中央区中山手通一丁目2015,令和3年8月26日,令和3年8月26日
転落死,兵庫県神戸市中央区琴ノ緒町二丁目76アニメイト神戸↓,平成22年10月10日,平成24年7月16日
男性が死亡。原因は心臓麻痺。,兵庫県神戸市中央区琴ノ緒町五丁目32,3年前くらい,平成29年9月10日
女性飛び降り自殺  １０階の部屋から４階部分にせり出した屋根に転落,兵庫県神戸市中央区雲井通八丁目12三宮ターミナルホテル,平成22年8月7日,平成25年12月2日
ＯＰＡ前さんちかの多目的トイレ内で２７歳男性がヘリウムガスで自殺,兵庫県神戸市中央区御幸通八丁目12,平成24年9月9日,平成24年11月9日
飛び降り,兵庫県神戸市中央区布引町四丁目212,7年前頃,平成27年11月4日
ラウンドワン三宮店の女子トイレで産まれたばかりの胎児が放棄されてた事件がありました。,兵庫県神戸市中央区小野柄通六丁目1−１７,7年くらい前だったと思う,平成27年2月18日
サラリーマン飛び降り,兵庫県神戸市中央区雲井通六丁目115,2002,平成28年11月5日
2017年 4F ヘリウム自殺,兵庫県神戸市中央区三宮町1丁目717,2017年,平成30年5月3日
コインロッカー下段右から2番目から乳児の死体を発見,兵庫県神戸市中央区琴ノ緒町五丁目415 コインロッカー0020番,平成25年7月26日,平成25年7月26日
火災による死亡,兵庫県神戸市中央区旭通二丁目1024 2階,令和4年7月28日,令和4年7月29日
同区内の女性が飛び降り自殺。,兵庫県神戸市中央区北本町通六丁目414,平成28年4月17日,平成28年5月24日
告知事項あり,兵庫県神戸市中央区八雲通5丁目69,不明,平成29年7月8日
自殺,兵庫県神戸市中央区雲井通三丁目6,2001年3月以降,令和2年6月24日
50代の女性が飛び降りに可能性,兵庫県神戸市中央区雲井通一丁目五丁目12701,平成28年11月4日,平成28年11月5日
火災による死亡,兵庫県神戸市中央区日暮通六丁目317川越日暮ハイツ101,平成26年6月24日,平成26年6月24日
１階が組事務所。暴力団員同士の殺人事件あり。,兵庫県神戸市中央区旭通一丁目11,10年程前,平成28年9月28日
 飛び降り自殺,兵庫県神戸市中央区二宮町一丁目132プレミアムコート神戸三宮↓,平成24年,平成25年5月7日
別のところからやってきた３６歳女性飛び降り自殺,兵庫県神戸市中央区旭通一丁目11,令和4年10月14日,令和4年10月14日
転落死,兵庫県神戸市中央区旭通四丁目13シティタワー神戸三宮 上階↓32階ベランダ,令和4年12月22日,令和4年12月23日
首吊り自殺だったと思う,兵庫県神戸市中央区雲井通三丁目6,10年前ぐらい,令和2年7月1日
転落死。  20日午前9時30分頃、神戸市中央区御幸通2のマンション（11階建て）敷地内で、若い男性血を流して倒れているのを、管理人の男性が見つけ、110番した。男性は全身を強く打っており、死亡していた。葺合署によると、マンションの住人とみられ、防犯カメラの映像などから、転落したのは夜間とみられる。6階非常階段からフロア通路に入ろうとしたが、扉に鍵がかかっており、手すりを飛び越え入ろうとした際、転落した可能性があるという。,兵庫県神戸市中央区御幸通二丁目28ドーミー三宮,令和元年7月20日,令和元年7月21日
男性遺体発見,兵庫県神戸市中央区磯上通四丁目112,平成20年9月6日,平成26年3月3日
腐乱死体,兵庫県神戸市中央区小野柄通二丁目15,２０００,平成24年11月20日
心理的瑕疵有,兵庫県神戸市中央区御幸通三丁目24 コスモプラザ三宮 9階北西向き住戸,時期不明,令和元年5月5日
レーベン三宮807号室  老人孤高死。翌日発見  当該事項を告知せず売り出す可能性有り,兵庫県神戸市中央区雲井通二丁目11,2017年中,平成30年10月6日
飛び降り自殺 同区内の男性。,兵庫県神戸市中央区南本町通六丁目1,２０１０,平成24年11月20日
2018年2月 1003号室 老人の遺体が見つかる,兵庫県神戸市中央区御幸通三丁目二丁目41003,2018年,平成30年2月20日
簡易宿泊施設「磯上荘」  火災により宿泊客が死亡,兵庫県神戸市中央区磯上通二丁目232,平成24年1月25日,平成24年1月25日
部屋号数はわからないが、首吊りあり。  安い賃貸料の部屋は注意,兵庫県神戸市中央区御幸通三丁目121ライオンズマンション三宮,2010年以前,平成30年8月23日
深夜、15階エレベータホールからの飛び降り自殺（男性）,兵庫県神戸市中央区御幸通二丁目23,令和3年3月28日,令和4年8月28日
心理的瑕疵,兵庫県神戸市中央区北本町通六丁目113,2005,令和4年3月25日
ラコート三宮 5階 告知事項物件心理的瑕疵物件,兵庫県神戸市中央区御幸通三丁目125,平成28年9月1日,平成29年7月5日
マンションの住民ではないと思われる身元不明の方が深夜に飛び降り自殺 明け方に発見された,兵庫県神戸市中央区御幸通六丁目130,令和4年11月3日,令和5年1月15日
３階 男性死亡,大阪府堺市北区新金岡町四丁目28,令和4年4月6日,令和4年4月6日
看護士から虐待を受けた老人が死亡,大阪府堺市北区新金岡町5丁13病院内,平成21年9月15日,令和元年7月27日
飛び降り自殺 ２回目,大阪府堺市北区新金岡町四丁目51,令和5年3月8日,令和5年3月8日
6号棟503号室。心理的瑕疵有。,大阪府堺市北区金岡町704,2022年3月頃,令和4年8月20日
アルティス新金岡  2000年に建築されたマンションですが、2000年〜2005年の間？に飛び降り自殺がありました。    飛び降り自殺,大阪府堺市北区新金岡町5丁15,平成29年1月6日,平成29年9月3日
告知事項あり,東京都葛飾区立石五丁目2312,20210426,令和3年7月4日
コーポ山元102号室｡告知事項あり  httpswwwhomescojpchintaib37011320094900,東京都葛飾区立石三丁目309,不明,平成29年5月19日
2階 北向きワンルーム（洋室65帖） 専有面積1736㎡ 賃料5万円 告知事項あり,東京都葛飾区立石三丁目2718 グリュックスハイム,令和4年8月5日,令和4年8月5日
火災による死亡,東京都葛飾区立石七丁目6,令和4年3月18日,令和4年3月19日
火災による死亡,東京都葛飾区立石四丁目314,平成25年5月7日,平成25年5月7日
一階にて独居男性の硫化水素による自殺未遂発生,東京都杉並区阿佐谷南三丁目77,20112012？,令和元年9月17日
独居の老人が孤高死,東京都杉並区阿佐谷南三丁目620第一赤松荘,2016年頃,令和2年3月23日
404号室 角部屋 告知事項有 2022年8月室内スケルトンリフォーム済,東京都杉並区成田東五丁目3414 住友南阿佐ヶ谷シティハウス,令和4年9月9日,令和4年9月10日
火災による死亡,東京都杉並区成田東五丁目3022,平成26年5月22日,平成26年5月22日
2階 201号室 角部屋 2018年12月21日 告知事項あり  2018年12月室内フルリフォーム システムキッチンや温水洗浄便座、お風呂など水回りの設備は新品です。,東京都杉並区阿佐谷南三丁目211 マナーテラス,平成30年12月21日,平成30年12月22日
10階 心理的瑕疵あり,東京都杉並区成田東五丁目4210 阿佐ケ谷陵雲閣マンション,不明,平成30年11月5日
※告知事項有（入居者死亡）,東京都杉並区阿佐谷南一丁目273 本間アパート A7号室,2021,令和3年6月9日
1階 心理的瑕疵あり,東京都杉並区成田東四丁目3518 メゾン中里,平成30年11月6日,平成30年11月6日
告知事項が御座います,東京都杉並区阿佐谷南一丁目2018 セジュール阿佐ヶ谷 1F 部屋番不明,不明,平成27年9月19日
高層階から中庭に飛び降り自殺,東京都杉並区阿佐谷南一丁目125,2007年ごろ,令和3年5月14日
3階 角部屋 東向きワンルーム（洋室6帖） 専有面積16㎡ 賃料54万円 管理費等2000円 容認事項有,東京都杉並区阿佐谷南一丁目98 マンションアルファ,令和4年8月6日,令和4年8月9日
406号室 角部屋 告知事項あり,東京都杉並区阿佐谷南一丁目88 タウンコート阿佐ヶ谷,令和4年6月14日,令和4年6月14日
告知事項あり 詳細不明,東京都杉並区阿佐谷南一丁目146 3F,２０１９年９月２７日,令和元年9月27日
火災による死亡,東京都杉並区阿佐谷南一丁目2022川染荘101,平成24年3月22日,平成24年3月23日
警察の立ち入りにて遺体発見,東京都杉並区阿佐谷南一丁目2024,平成29年12月5日,平成29年12月7日
孤高死,東京都文京区小石川二丁目813,15年前,令和2年1月18日
コア伝通院 3階 告知事項あり。  httpssuumojpchintaitokyoscbunkyojnc000027501988bc100091752252,東京都文京区春日一丁目1113,平成29年5月15日,平成29年5月14日
5年ほど前ラーメン屋の前の店舗とんかつ屋主店の中で        首つり,東京都文京区小石川一丁目159,5ねんほどまえ,平成30年7月7日
無理心中,東京都文京区本郷五丁目114梨の木坂ハウス,平成30年9月26日,平成30年9月26日
住人の飛び降り自殺,東京都文京区本郷一丁目3515 都営本郷一丁目アパート 3階陸屋根,2015年3月頃,令和2年1月14日
女性の孤高死,東京都文京区本郷四丁目305,2013年,令和4年2月28日
シビックセンター屋内階段  区職員が首吊り自殺,東京都文京区春日一丁目1621,2016年,平成30年7月2日
14階非常階段より 飛び降り自殺,東京都文京区本郷一丁目3515 都営本郷一丁目アパート,平成22年7月27日,令和4年10月13日
自殺,東京都文京区後楽一丁目76,平成23年5月11日,平成27年5月4日
死体発見,東京都文京区本郷一丁目1113福田ビル1階,平成21年11月9日,
心理的瑕疵有,東京都文京区本郷一丁目333 後楽園キャステール 3階,時期不明,平成30年5月22日
女子生徒が校舎5階 生物室から投身,東京都文京区本郷一丁目525,令和3年7月7日,令和3年7月7日
ジオポリス北側トンネル通路 ペルー人男性、病死,東京都文京区後楽一丁目3 東京ドームシティ,平成20年10月15日,令和4年10月18日
805室 女性飛び降り自殺。,東京都文京区本郷一丁目333,平成26年10月16日,平成26年10月16日
硫化水素自殺,東京都文京区本郷一丁目332水道橋グランドホテル523,平成22年3月26日,
旧名称：アルティス本郷  906号室 角部屋 告知事項有,東京都文京区本郷一丁目244 レジディア文京本郷,令和4年7月28日,令和4年7月28日
2階 南東向き 2095㎡    告知事項アリ,東京都荒川区荒川七丁目347,不明,平成28年3月25日
2階 告知事項有 13階 6階 共用部告知事項あり,東京都荒川区荒川七丁目363,,令和5年6月7日
マークスタワー24階より飛び降り自殺,東京都荒川区荒川七丁目461,平成25年11月22日,平成25年11月28日
火災による死亡,東京都荒川区荒川七丁目243,平成20年7月4日,
3階 西向き3LDK 専有面積6467㎡ 告知事項有,東京都荒川区荒川七丁目363 セブン・ナルケマンション,令和4年5月10日,令和4年5月10日
410号室 分譲賃貸 告知事項有 定期借家（3年）,東京都荒川区荒川七丁目461 マークスタワー,令和4年8月22日,令和4年8月22日
在日韓国人の青年飛び降り自殺,東京都荒川区荒川七丁目36−３,平成24年,平成26年11月12日
最上階より女性飛び降り自殺,東京都荒川区荒川七丁目36−３,平成18年,平成26年11月12日
火災による死亡,東京都荒川区荒川二丁目457,平成31年1月20日,平成31年2月4日
一戸建て住宅1人暮らしで男性が亡くなり周辺住民が腐乱臭に気付き通報。その後改装してアパートになった。,東京都荒川区荒川四丁目324 サンハイツ,平成17年9月1日,平成30年11月9日
心理的瑕疵有,東京都荒川区荒川七丁目363 セブン・ナルケマンション［4階402号室］，10階，［11階1101号室］,不明,平成29年11月2日
7階 西向き3LDK（LDK134帖、洋室62帖、洋室49帖、洋室38帖） 専有面積6467㎡ 賃料17万円 管理費等15000円 告知事項有,東京都荒川区荒川七丁目363 セブン・ナルケマンション,令和4年7月17日,令和4年7月18日
505号室 告知事項あり,東京都荒川区荒川七丁目363 セブン・ナルケマンション,令和4年5月27日,令和4年5月27日
転落死,東京都荒川区荒川四丁目41,平成22年2月25日,令和3年2月25日
火災による死亡,東京都荒川区荒川三丁目304,平成21年12月24日,
死体発見,東京都荒川区荒川四丁目227サンハイツ荒川2階,平成27年7月30日,平成27年7月31日
孤高死,東京都板橋区仲宿348,2015,平成29年7月16日
心理的瑕疵物件,東京都板橋区仲宿3613,2013,平成29年8月14日
4階 角部屋 告知事項有,東京都板橋区仲宿573 メゾン・ド・セレール,令和4年10月13日,令和4年10月13日
孤高死,東京都板橋区仲宿357,2014,平成29年7月16日
1階 南向き1DK（和室6畳、DK5帖、風呂なし） 専有面積20㎡ 賃料4万円 告知事項あり,東京都板橋区仲宿3512 青田荘,令和4年6月23日,令和4年6月23日
グラスコート板橋 部屋番号不明  心理的瑕疵物件,東京都板橋区板橋三丁目914,2010年以降,平成30年2月7日
ジュエル板橋区役所前7階 心理的瑕疵物件,東京都板橋区板橋三丁目812,令和3年2月22日,令和3年2月23日
心理的瑕疵が御座います,東京都板橋区仲宿3512 青田荘 206号室,不明,平成27年6月21日
告知事項あり,東京都板橋区板橋三丁目913 野間ビル 4階402,2017年,平成29年7月15日
原因不明の事故,東京都板橋区仲宿3610,2011,平成29年3月12日
1階 角部屋 南向き1DK（洋室6帖、DK68帖） 専有面積238㎡ 心理的瑕疵あり（同建物内の別室にて自殺及び自然死の瑕疵あり）,東京都板橋区板橋三丁目113 グリーンパレス,令和4年5月15日,令和4年5月17日
402号室 角部屋 心理的瑕疵有,東京都板橋区仲宿573 メゾン・ド・セレール,令和4年10月15日,令和4年10月16日
心理的瑕疵物件,東京都板橋区仲宿391 須田ビル402,5年前,平成27年9月11日
心理的瑕疵有,東京都板橋区仲宿438 ドミールジュネス 2階203号室南西角部屋,不明,平成29年11月4日
httpssuumojpchintaitokyoscitabashibc100039936988  第三トキワコーポ 2階 部屋番号は不明  告知事項が御座います,東京都板橋区仲宿586 第三トキワコーポ,2015年,平成28年2月3日
801。心理的瑕疵あり,東京都板橋区板橋三丁目23,不明,平成29年9月26日
刑法第190条,東京都板橋区板橋二丁目603板橋区役所前ビューハイツ703,平成26年3月7日,平成26年4月15日
1008号室心理的瑕疵あり,東京都板橋区板橋二丁目639,20163上旬,令和元年11月11日
自殺,東京都板橋区板橋二丁目642,2015,平成28年8月30日
死体発見,東京都板橋区大山東町3212トーカンマンション大山205,平成23年8月中旬,平成24年12月29日
5F  スーモに心的瑕疵物件と記載あり,東京都板橋区板橋三丁目23,201710頃,平成29年11月14日
心理的瑕疵あり,東京都板橋区板橋三丁目23リヴァ－ジュコ－ト 7階701,不明,平成31年4月25日
ルビナス大山、1LDK最上階角部屋  ポーチ部分にて自殺,東京都板橋区大山金井町１,2012年上旬,平成24年9月30日
心理的瑕疵あり,東京都板橋区板橋三丁目23 リヴァ－ジュコ－ト 2階203号室,不明,平成29年11月1日
ホワイトパレスイトウ 心理的瑕疵あり。7F,東京都板橋区板橋三丁目22601号室602号室,平成27年6月25日,平成27年11月12日
腐乱死体発見,東京都板橋区大山東町321 フェニックス板橋大山207号室,2017年7月中旬,平成29年11月4日
飛び降り自殺,東京都板橋区板橋三丁目32,平成２５年,平成26年7月2日
httpssuumojpchintaitokyoscitabashibc100030931779  リヴァ－ジュコ－ト 9階 部屋番号は不明  告知事項が御座います,東京都板橋区板橋三丁目23 リヴァ－ジュコ－ト,2016年,平成28年2月3日
火災による焼死,東京都板橋区板橋二丁目7,2000,平成30年10月8日
1008心理的瑕疵あり,外国外国板橋二丁目639,20163,令和元年12月12日
心理的瑕疵あり,東京都板橋区板橋三丁目22 ホワイトパレスイトウ601,不明,平成31年4月25日
7階702心理的瑕疵物件有り,東京都板橋区板橋三丁目23,不明,平成28年6月12日
１階の浴槽にて自殺,東京都板橋区板橋三丁目4413,６年前,令和2年11月28日
2Fで2軒、スーモに心理的瑕疵物件として掲載されています。,東京都板橋区板橋三丁目23,201710頃,平成29年11月14日
心理的瑕疵あり,東京都板橋区板橋三丁目二丁目2602,不明,平成31年4月25日
高所作業車が倒れて死亡,東京都品川区二葉一丁目1建設現場,平成25年1月16日,平成25年1月17日
3階 東向きワンルーム 専有面積1394㎡ 賃料47万円 管理費等3000円 告知事項あり,東京都品川区豊町二丁目182 メゾン・ド・リュビ,令和4年7月2日,令和4年7月2日
火災による死亡,東京都品川区西品川一丁目1110青雲荘207210,平成18年8月22日,
販売物件 告知事項アリ 記載,東京都品川区豊町二丁目142,20225完成販売物件,令和4年7月3日
青稜中学校三階から転落 その後死亡,東京都品川区二葉一丁目66,2018年10月,令和3年6月28日
飛び降り自殺,東京都品川区広町二丁目119 JR広町アパート4号棟,平成19年4月11日,令和4年10月21日
首吊り自殺,東京都品川区二葉１丁目１７１８ メゾン・ド・パナシェ 209,24年1月,平成24年7月9日
刺殺,東京都品川区大井二丁目716,令和4年5月17日,令和4年5月18日
心理的瑕疵,東京都品川区二葉一丁目123,平成30年10月1日,令和元年5月14日
病死がありました,東京都品川区二葉1丁目139 メゾンドアストル 203号室,不明,平成30年4月6日
3階 ホームズにて心理的瑕疵ありと記載,東京都品川区大井一丁目369,不明,令和5年6月11日
告知事項あり物件    下のフロアの住民がモンスタークレーマー  居室内を歩くだけで音が煩く鳴り響くと管理会社へ連絡をする    床をタイルカーペットに変更したものの、新しく入居した方がすぐ退去してしまった。,東京都品川区大井一丁目357 アーマックス大井町0304号室,令和2年5月13日,令和2年10月21日
自然死。遺体発見。死後2～3週間経過。,東京都品川区大井一丁目526 コスモ大井町406,平成29年9月6日,平成29年9月11日
802号室の住人が午前3時ころ飛び降り。 7月15日に生活本舗が室内整理予定。,東京都品川区大井一丁目2510,令和3年5月18日,令和3年7月16日
709号室 告知事項有り 室内新規リフォーム済,東京都品川区大井一丁目218 メガロン大井町,令和4年5月14日,令和4年5月15日
火災による死亡,東京都品川区大井一丁目2119メゾン大井町203,平成23年11月27日,平成23年11月27日
住民意識不明の状態で発見。  病院搬送されるも死亡確認。    遺品整理後、リフォーム実施,東京都品川区大井一丁目2112 東急ドエル・アルス大井一丁目 804,令和2年6月1日,令和2年10月21日
【投資用オーナーチェンジ】 9階 南向き1R 専有面積99㎡ 価格750万円 管理費等7000円 修繕積立金6000円 告知事項あり：現在の賃借人の前の賃借人が孤高死しております。,東京都品川区大井一丁目437 トップルーム品川NO2,令和4年9月19日,令和4年9月20日
6階 分譲賃貸 告知事項有り 2017年7月リフォーム済 外国籍・水商売可、高齢者相談、事務所使用可,東京都品川区大井一丁目437 トップルーム品川NO2,令和4年10月5日,令和4年10月6日
心理的瑕疵有と記載LIFULL HOMES,東京都品川区大井一丁目437 トップルーム品川第二 705号室,不明,平成29年10月10日
飛び降り自殺,東京都千代田区九段南一丁目31,2021年05月初旬,令和3年6月1日
敷地内 死体発見,東京都千代田区神田神保町二丁目429 松本ビル,平成19年8月21日,令和4年10月20日
自殺,東京都千代田区神田神保町三丁目111 6階,2011年,令和3年10月19日
メゾン・ド・ヴィレ神田神保町406号室   告知事項有り,東京都千代田区神田神保町二丁目六丁目114,不明,平成28年9月24日
201号室 告知事項有,東京都足立区中央本町四丁目62 セントラルハイツ,令和4年4月27日,令和4年6月7日
102号室 告知事項有,東京都足立区中央本町四丁目62 セントラルハイツ,令和4年5月10日,令和4年5月11日
告知事項あり（不動産情報より）,東京都足立区中央本町四丁目62 セントラルハイツ 1階,2020年3月現在,令和2年3月25日
604号室から女性が犬を抱き飛び降り。,東京都足立区中央本町一丁目1812,2011年頃,平成28年8月23日
6階 角部屋 告知事項有 2022年10月リフォーム完了予定,東京都足立区梅田七丁目229 梅島ハイツ,令和4年10月15日,令和4年10月16日
203号室 告知事項有,東京都足立区梅島一丁目246 シティーフラッツ,令和4年5月24日,令和4年5月24日
賃貸の募集が出ていたが同建物内の他の部屋と比較して明らかに家賃が安かったので不動産業者に確認 人が亡くなっているとのこと 502号室,東京都足立区足立四丁目1616,2021年11月,令和3年11月19日
居住男性の病気による孤高死,東京都足立区梅島一丁目24番6号シティフラッツ103号室,2019,令和3年8月17日
中年女性 病死による孤高死,東京都足立区梅島一丁目241 601,H299月上旬,平成29年9月17日
5階 西向き1K（洋室8帖、K） 専有面積2976㎡ 賃料5万円 管理費等5000円 告知事項あり,東京都足立区足立四丁目1616 コルソ五反野,令和4年6月15日,令和4年6月15日
敷地内 首吊り自殺,東京都足立区中央本町一丁目66 都営中央本町一丁目アパート6号棟,平成25年9月17日,令和4年9月3日
心理的瑕疵,東京都目黒区上目黒二丁目1720,2012,令和4年3月15日
練炭自殺,東京都目黒区上目黒二丁目1611,2010〜2011,平成30年11月21日
賃貸物件サイトに病死の部屋がある旨、記載あり,東京都目黒区上目黒二丁目182,2014年？,平成26年10月6日
訂正して下さり、ありがとうございます。    東京都目黒区上目黒2154 マスダビル 増田隆良 301024,東京都目黒区上目黒二丁目154,平成30年10月24日,平成30年10月23日
転落死,東京都目黒区中目黒一丁目1022中目黒ハイツ15階↓3階,平成23年10月21日,平成23年10月21日
パシフィックタワー中目黒・高層棟屋上・首吊り自殺。  部外者がマンションに侵入し屋上にて首吊り自殺。  当該物件に住んでいた別れた彼女への嫌がらせと思われる。,東京都目黒区上目黒二丁目151,平成20年11月？,平成23年10月28日
8階から飛び降り自殺,東京都練馬区練馬三丁目12 ドゥーエ練馬Ⅱ,平成28年9月15日,平成28年9月15日
飛び降り自殺,東京都練馬区練馬三丁目28ライオンズマンション練馬14階↓,平成21年6月16日,
刺殺,東京都練馬区中村北一丁目113フォーラムイン東京718,平成20年4月3日,
告知事項有,東京都練馬区練馬一丁目68 ボナール縁 5階角部屋,不明,平成29年11月1日
死体発見,東京都練馬区練馬三丁目28ライオンズマンション練馬,令和3年6月21日,令和3年10月26日
告知事項あり,東京都練馬区中村一丁目1119 207号室,令和元年9月1日,令和元年9月27日
6日朝方9階非常階段から飛び降り,東京都練馬区練馬三丁目35,平成29年5月6日,平成29年5月8日
首吊自殺,東京都練馬区豊玉北六丁目251,2014年ごろ,平成27年9月17日
火災による死亡,東京都練馬区豊玉北六丁目209豊玉第2コーポラス713,平成20年2月7日,
706号室 分譲賃貸 告知事項有 2022年10月リフォーム済,東京都練馬区中村北一丁目113 フォーラムイン東京,令和4年10月3日,令和4年10月3日
306号室 告知事項あり不動産ホームページに記載,東京都練馬区中村北一丁目113,不明,令和2年10月10日
7階から飛び降り自殺,東京都練馬区中村北一丁目116,令和3年4月13日,令和3年4月14日
1313号室 告知事項あり不動産ホームページに記載,東京都練馬区中村北一丁目113,不明,令和2年10月10日
サンパレス練馬105号室  告知事項あり,東京都練馬区練馬一丁目615,不明,平成27年9月23日
5階 504号室 心理的瑕疵あり,東京都練馬区練馬一丁目68 ボナール縁,平成30年10月25日,平成30年11月1日
14階で自殺,東京都練馬区練馬三丁目25,平成30年11月29日,令和2年12月23日
504号室、1309号室 告知事項あり,東京都練馬区中村北一丁目113 フォーラムイン東京,令和4年9月3日,令和4年9月3日
絞殺,東京都練馬区練馬三丁目28ライオンズマンション練馬403,平成21年6月16日,
刺殺,東京都府中市宮西町一丁目5,平成19年2月14日,令和3年10月16日
心理的瑕疵物件,東京都府中市府中町二丁目101,平成30年4月11日,平成30年5月30日
ホテルコンチネンタル府中、地下１階  自己啓発主催者ら書類送検＝セミナー中に男性死亡―遺棄致死容疑で・警視庁,東京都府中市府中町一丁目51,平成22年1月27日,平成27年8月17日
病死,東京都府中市本町一丁目131,平成18年2月18日,平成28年12月21日
201号室 国籍不詳、年齢37歳、女性、食道静脈瘤破裂による死亡,東京都府中市宮町二丁目198 パークモト江,平成23年10月10日,令和4年9月11日
2階。告知事項ありとなっていたが続々と退去者が出た為か、業者が借りたことにし内容を隠し再度募集をかけていた。,東京都府中市本町一丁目947ドウエル府中本町,2018年8月頃,平成30年8月25日
首吊り自殺,東京都八王子市元本郷町三丁目241,首吊り自殺,平成30年12月8日
老人孤高死,東京都八王子市元本郷町四丁目149,令和3年2月8日,令和3年2月19日
105号室 孤高死・腐乱,東京都八王子市元本郷町三丁目75,2017年7～8月頃,令和元年7月27日
火災による死亡,東京都八王子市元本郷町三丁目916,平成28年3月17日,平成28年3月17日
病死 腐乱死体,東京都八王子市元本郷町四丁目1424,令和元年12月10日,令和3年3月22日
亡くなった母親を自宅に放置して、一緒に生活していた。異臭に気づいた近所の人が警察に通報して遺体が発見された。,東京都八王子市元本郷町四丁目1424,令和元年12月10日,令和3年3月22日
刺殺,東京都八王子市元本郷町四丁目132都営元本郷町四丁目アパート2号棟108,平成26年6月13日,平成26年6月14日
202号室 角部屋 告知事項有,東京都日野市神明四丁目712 コートピア日野,令和4年10月8日,令和4年10月9日
首吊り自殺,東京都国分寺市戸倉一丁目825,2021年5月,令和3年6月27日
火災により78歳男性が4日後に亡くなった,東京都国分寺市日吉町四丁目61,平成29年7月22日,平成30年1月24日
5階 角部屋 告知事項有り,東京都国分寺市戸倉一丁目825 PlaceK,令和4年10月6日,令和4年10月7日
6階 角部屋 告知事項有り,東京都国分寺市戸倉一丁目825 PlaceK,令和4年10月6日,令和4年10月7日
206号室、506号室 告知事項あり,東京都国分寺市戸倉一丁目825 プレイスK,令和4年7月30日,令和4年7月30日
火災によりお亡くなり,東京都国分寺市戸倉一丁目514,30年前,平成28年8月19日
606号室 告知事項あり,東京都国分寺市戸倉一丁目825 プレイスK,令和4年7月30日,令和4年7月31日
絞殺,東京都町田市森野二丁目48 CASA VICENS,平成19年5月6日,平成25年5月12日
心中,神奈川県相模原市南区鵜野森二丁目276鵜野森団地F棟402,平成28年2月18日,平成28年2月19日
精神的瑕疵,東京都町田市森野五丁目152,2017,平成30年3月12日
告知事項あり,東京都町田市森野二丁目34 ビラージュシンワ 301号室,不明,平成31年3月18日
402号室 初老の男性 餓死,東京都町田市森野五丁目134,2013年,平成30年3月12日
押し入れに人骨が見付かった。  未解決事件。,東京都町田市森野五丁目1117,2007年,平成27年4月5日
410号室  病死,神奈川県相模原市南区鵜野森三丁目32−２７,2014年,平成28年4月10日
部屋番号不明。老人の遺体発見。緊急車両と警官の出動を、向かいにある予備校の学生多数が目撃。,東京都町田市森野一丁目3214アールヴェール町田森野,2017年夏頃,平成30年8月6日
死亡事故,東京都町田市森野二丁目14,平成24年10月12日,令和3年3月12日
火災による死亡,東京都町田市森野一丁目411都営森野住宅11号棟3階,平成27年12月29日,平成28年6月7日
1F 孤高死,東京都町田市森野一丁目34,2020年3月,令和2年10月9日
熱中症により孤高死,東京都青梅市東青梅二丁目1612,2014年か2015年の8月頃,平成31年1月8日
夕方頃に救急車や警察が来ていた。防護服着ていた人もいたから、多分そういうことがあったと思われる。,東京都青梅市東青梅三丁目264,令和3年7月後半,令和4年7月29日
心理的瑕疵有,東京都青梅市東青梅二丁目1913 ホーユウコンフォルト東青梅 3階,時期不明,平成30年9月1日
孤高死もしくは自然死,東京都青梅市東青梅三丁目九丁目5206,2010年代,令和2年8月30日
告知事項あり。業者は全オーナーが病死と伝えてきたが、正確には前々オーナーが自殺、全オーナーが失踪とのこと。,東京都青梅市東青梅三丁目85,2018年時点での情報,平成30年6月6日
自殺,東京都青梅市東青梅二丁目一六丁目3501号室,平成29年10月8日,平成29年11月13日
心理的瑕疵物件,東京都青梅市東青梅三丁目12,平成２０年頃,令和2年8月29日
独居男性の病死。発見時死後3ヶ月程度経過。,東京都青梅市千ヶ瀬町二丁目1276,2011年,平成26年5月9日
告知事項あり（不動産情報より）,東京都調布市小島町二丁目121 ＡＬＰＩＮＥ ＣＯＵＲＴ １ 1階,2020年1月現在,令和2年1月24日
傷害致死,東京都調布市小島町二丁目1426ユマニテ調布103,平成24年9月18日～平成24年9月20日,平成24年9月24日
ファミール小島町2F（部屋番号不明）  心理的瑕疵物件あり,東京都調布市小島町二丁目195,不明,平成26年4月24日
◆エスター調布B203号室◆ 死亡している70代くらいの女性と50代くらいの男性発見。外傷なし。連絡が取れず施錠されていたので、消防がベランダの窓を割って部屋に入り発見。いずれもあおむけの状態で倒れていた。 httpswwwtokyonpcojparticle150176 httpswwwsankeicomarticle20211221JCD34JMV4FJB5KUT54ME6VEQEY,東京都調布市小島町二丁目12,令和4年1月20日,令和4年2月15日
201号室 角部屋 告知事項有,東京都調布市小島町二丁目121 アルパイン・コートⅡ,令和4年5月27日,令和4年5月28日
29歳女性が首吊り自殺,東京都三鷹市上連雀九丁目1414,2018年3月9日,平成30年3月16日
心理的瑕疵物件  不動産情報に記載あり,東京都三鷹市上連雀八丁目216 コスモハイツ 2階,時期不明,平成29年11月8日
