,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
144,窃盗,オートバイ盗,板橋,上板橋駅前交番,131199.0,東京都,板橋区,上板橋１丁目,2021/12/5,0,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
145,窃盗,オートバイ盗,板橋,上板橋駅前交番,131199.0,東京都,板橋区,上板橋２丁目,2021/11/8,14,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
146,窃盗,オートバイ盗,板橋,大谷口交番,131199.0,東京都,板橋区,大谷口１丁目,2021/10/27,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
147,窃盗,オートバイ盗,板橋,大谷口交番,131199.0,東京都,板橋区,大谷口２丁目,2021/4/20,1,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
148,窃盗,オートバイ盗,板橋,茂呂交番,131199.0,東京都,板橋区,小茂根１丁目,2021/9/24,14,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
149,窃盗,オートバイ盗,志村,中台交番,131199.0,東京都,板橋区,中台１丁目,2021/1/19,15,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
150,窃盗,オートバイ盗,志村,中台交番,131199.0,東京都,板橋区,中台２丁目,2021/9/9,9,駐車（輪）場,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
151,窃盗,オートバイ盗,志村,前野町交番,131199.0,東京都,板橋区,前野町２丁目,2021/4/26,15,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
152,窃盗,オートバイ盗,志村,坂上交番,131199.0,東京都,板橋区,志村１丁目,2021/8/24,6,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
153,窃盗,オートバイ盗,志村,坂下交番,131199.0,東京都,板橋区,坂下３丁目,2021/1/18,23,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
154,窃盗,オートバイ盗,志村,小豆沢交番,131199.0,東京都,板橋区,小豆沢３丁目,2021/1/26,15,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
155,窃盗,オートバイ盗,志村,小豆沢交番,131199.0,東京都,板橋区,小豆沢４丁目,2021/10/20,0,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
156,窃盗,オートバイ盗,志村,清水町交番,131199.0,東京都,板橋区,大原町,2021/10/2,21,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
157,窃盗,オートバイ盗,志村,西台交番,131199.0,東京都,板橋区,西台１丁目,2021/2/27,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
158,窃盗,オートバイ盗,志村,西台交番,131199.0,東京都,板橋区,西台２丁目,2021/12/13,12,一戸建住宅,その他,キーなし,あり,自動二輪（50cc超）
159,窃盗,オートバイ盗,練馬,中村橋交番,131202.0,東京都,練馬区,中村北３丁目,2021/3/20,19,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
160,窃盗,オートバイ盗,練馬,早宮交番,131202.0,東京都,練馬区,早宮２丁目,2021/12/21,21,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
161,窃盗,オートバイ盗,練馬,春日町交番,131202.0,東京都,練馬区,春日町２丁目,2021/8/15,15,道路上,その他,キーあり,なし,自動二輪（50cc超）
162,窃盗,オートバイ盗,練馬,春日町交番,131202.0,東京都,練馬区,春日町３丁目,2021/8/27,16,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
163,窃盗,オートバイ盗,練馬,春日町交番,131202.0,東京都,練馬区,春日町５丁目,2020/5/6,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
164,窃盗,オートバイ盗,練馬,桜台交番,131202.0,東京都,練馬区,桜台４丁目,2021/2/20,19,道路上,その他,キーなし,なし,自動二輪（50cc超）
165,窃盗,オートバイ盗,練馬,練馬駅前交番,131202.0,東京都,練馬区,練馬２丁目,2021/4/5,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
166,窃盗,オートバイ盗,練馬,豊島園前交番,131202.0,東京都,練馬区,練馬２丁目,2021/4/4,17,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
167,窃盗,オートバイ盗,石神井,上石神井駅前交番,131202.0,東京都,練馬区,上石神井１丁目,2021/3/5,0,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
168,窃盗,オートバイ盗,石神井,北大泉交番,131202.0,東京都,練馬区,大泉町３丁目,2021/2/23,23,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
169,窃盗,オートバイ盗,石神井,北大泉交番,131202.0,東京都,練馬区,大泉町３丁目,2021/4/8,23,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
170,窃盗,オートバイ盗,石神井,南大泉交番,131202.0,東京都,練馬区,南大泉１丁目,2021/8/28,6,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
171,窃盗,オートバイ盗,石神井,大泉学園交番,131202.0,東京都,練馬区,大泉学園町６丁目,2021/4/13,1,一戸建住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
172,窃盗,オートバイ盗,石神井,大泉学園交番,131202.0,東京都,練馬区,大泉学園町９丁目,2021/7/24,7,道路上,その他,キーなし,なし,自動二輪（50cc超）
173,窃盗,オートバイ盗,石神井,富士街道交番,131202.0,東京都,練馬区,石神井台４丁目,2021/9/11,21,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
174,窃盗,オートバイ盗,石神井,武蔵関駅前交番,131202.0,東京都,練馬区,関町北５丁目,2021/1/3,23,一戸建住宅,その他,キーなし,なし,自動二輪（50cc超）
175,窃盗,オートバイ盗,石神井,武蔵関駅前交番,131202.0,東京都,練馬区,関町北５丁目,2021/1/13,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
176,窃盗,オートバイ盗,石神井,石神井公園駅前交番,131202.0,東京都,練馬区,石神井町１丁目,2021/8/27,18,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
177,窃盗,オートバイ盗,石神井,石神井公園駅前交番,131202.0,東京都,練馬区,石神井町６丁目,2021/9/30,19,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,自動二輪（50cc超）
178,窃盗,オートバイ盗,石神井,関町交番,131202.0,東京都,練馬区,関町南１丁目,2021/3/8,22,その他の住宅（３階建て以下共同住宅等）,その他,キーあり,なし,自動二輪（50cc超）
179,窃盗,オートバイ盗,石神井,関町交番,131202.0,東京都,練馬区,関町南２丁目,2020/6/30,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
180,窃盗,オートバイ盗,高島平,上赤塚交番,131199.0,東京都,板橋区,成増５丁目,2021/1/16,0,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
181,窃盗,オートバイ盗,高島平,下赤塚交番,131199.0,東京都,板橋区,赤塚２丁目,2018/6/1,不明,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
182,窃盗,オートバイ盗,高島平,下赤塚交番,131199.0,東京都,板橋区,赤塚新町３丁目,2021/11/11,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
183,窃盗,オートバイ盗,高島平,北野交番,131199.0,東京都,板橋区,新河岸３丁目,2021/9/27,4,道路上,その他,キーなし,なし,自動二輪（50cc超）
184,窃盗,オートバイ盗,高島平,北野交番,131199.0,東京都,板橋区,徳丸１丁目,2021/10/7,23,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
185,窃盗,オートバイ盗,高島平,徳丸駐在所,131199.0,東京都,板橋区,徳丸６丁目,2020/10/16,4,道路上,その他,キーなし,なし,自動二輪（50cc超）
186,窃盗,オートバイ盗,高島平,徳丸駐在所,131199.0,東京都,板橋区,徳丸６丁目,2021/7/6,18,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
187,窃盗,オートバイ盗,高島平,徳丸駐在所,131199.0,東京都,板橋区,徳丸７丁目,2021/2/27,18,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
188,窃盗,オートバイ盗,高島平,成増駅前交番,131199.0,東京都,板橋区,成増２丁目,2021/1/2,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
189,窃盗,オートバイ盗,高島平,松月院前交番,131199.0,東京都,板橋区,赤塚８丁目,2021/2/27,19,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
190,窃盗,オートバイ盗,高島平,笹目橋交番,131199.0,東京都,板橋区,三園１丁目,2021/9/6,22,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
191,窃盗,オートバイ盗,高島平,笹目橋交番,131199.0,東京都,板橋区,三園２丁目,2021/2/2,22,一戸建住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
192,窃盗,オートバイ盗,高島平,西台駅前交番,131199.0,東京都,板橋区,高島平１丁目,2021/3/11,16,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
193,窃盗,オートバイ盗,高島平,西台駅前交番,131199.0,東京都,板橋区,高島平９丁目,2021/2/25,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
194,窃盗,オートバイ盗,光が丘,三原台交番,131202.0,東京都,練馬区,三原台２丁目,2021/10/23,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
195,窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202.0,東京都,練馬区,光が丘２丁目,2021/4/12,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
196,窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202.0,東京都,練馬区,光が丘３丁目,2021/10/14,17,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
197,窃盗,オートバイ盗,光が丘,光が丘三丁目交番,131202.0,東京都,練馬区,光が丘３丁目,2021/12/25,22,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
198,窃盗,オートバイ盗,光が丘,北町交番,131202.0,東京都,練馬区,北町６丁目,2021/1/14,9,道路上,その他,キーなし,なし,自動二輪（50cc超）
199,窃盗,オートバイ盗,光が丘,北町交番,131202.0,東京都,練馬区,北町８丁目,2021/7/11,14,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
200,窃盗,オートバイ盗,光が丘,土支田交番,131202.0,東京都,練馬区,旭町１丁目,2021/8/15,17,その他,その他,キーあり,なし,自動二輪（50cc超）
201,窃盗,オートバイ盗,光が丘,田柄交番,131202.0,東京都,練馬区,北町８丁目,2021/8/11,18,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
202,窃盗,オートバイ盗,光が丘,練馬高野台駅前交番,131202.0,東京都,練馬区,高野台５丁目,2018/12/20,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
203,窃盗,オートバイ盗,光が丘,練馬高野台駅前交番,131202.0,東京都,練馬区,南田中４丁目,2015/4/1,不明,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
204,窃盗,オートバイ盗,上野,上野駅交番,131067.0,東京都,台東区,東上野３丁目,2021/10/8,12,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
205,窃盗,オートバイ盗,下谷,三ノ輪交番,131067.0,東京都,台東区,三ノ輪１丁目,2021/2/24,20,道路上,その他,キーあり,なし,自動二輪（50cc超）
206,窃盗,オートバイ盗,浅草,日本堤交番,131067.0,東京都,台東区,清川２丁目,2017/8/21,0,道路上,その他,キーあり,なし,自動二輪（50cc超）
207,窃盗,オートバイ盗,浅草,日本堤交番,131067.0,東京都,台東区,千束４丁目,2021/3/5,21,道路上,その他,キーあり,あり,自動二輪（50cc超）
208,窃盗,オートバイ盗,浅草,日本堤交番,131067.0,東京都,台東区,橋場２丁目,2021/6/16,18,道路上,その他,キーなし,なし,自動二輪（50cc超）
209,窃盗,オートバイ盗,蔵前,小島二丁目交番,131067.0,東京都,台東区,鳥越１丁目,2021/2/28,20,道路上,その他,キーなし,なし,自動二輪（50cc超）
210,窃盗,オートバイ盗,蔵前,小島二丁目交番,131067.0,東京都,台東区,鳥越２丁目,2021/3/2,18,その他,その他,キーなし,なし,自動二輪（50cc超）
211,窃盗,オートバイ盗,蔵前,田原町交番,131067.0,東京都,台東区,東上野６丁目,2021/9/20,23,道路上,その他,キーなし,なし,自動二輪（50cc超）
212,窃盗,オートバイ盗,蔵前,菊屋橋交番,131067.0,東京都,台東区,元浅草２丁目,2021/10/9,21,道路上,その他,キーあり,なし,自動二輪（50cc超）
213,窃盗,オートバイ盗,蔵前,蔵前二丁目交番,131067.0,東京都,台東区,寿３丁目,2021/6/25,18,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
214,窃盗,オートバイ盗,蔵前,須賀橋交番,131067.0,東京都,台東区,浅草橋２丁目,2021/6/3,13,道路上,その他,キーあり,なし,自動二輪（50cc超）
215,窃盗,オートバイ盗,尾久,荒川遊園前交番,131181.0,東京都,荒川区,西尾久８丁目,2020/10/18,17,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
216,窃盗,オートバイ盗,南千住,南千住一丁目交番,131181.0,東京都,荒川区,南千住１丁目,2020/10/1,8,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
217,窃盗,オートバイ盗,南千住,南千住駅東口交番,131181.0,東京都,荒川区,南千住５丁目,2021/5/7,7,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
218,窃盗,オートバイ盗,千住,北千住駅東口交番,131211.0,東京都,足立区,千住旭町,2021/3/27,8,その他,その他,キーなし,なし,自動二輪（50cc超）
219,窃盗,オートバイ盗,千住,緑町交番,131211.0,東京都,足立区,千住緑町１丁目,2020/10/8,4,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
220,窃盗,オートバイ盗,西新井,大師前交番,131211.0,東京都,足立区,栗原３丁目,2021/8/20,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
221,窃盗,オートバイ盗,西新井,大師前交番,131211.0,東京都,足立区,西新井６丁目,2021/11/30,8,駐車（輪）場,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
222,窃盗,オートバイ盗,西新井,島根交番,131211.0,東京都,足立区,栗原２丁目,2021/5/22,22,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
223,窃盗,オートバイ盗,西新井,扇交番,131211.0,東京都,足立区,扇２丁目,2021/12/21,18,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
224,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅島１丁目,2021/4/17,7,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
225,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅田５丁目,2021/11/12,17,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
226,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅田６丁目,2021/5/21,10,その他,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
227,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅田７丁目,2021/3/25,9,その他,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
228,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅田８丁目,2021/3/7,11,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
229,窃盗,オートバイ盗,西新井,梅田七丁目交番,131211.0,東京都,足立区,梅田８丁目,2021/12/9,10,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
230,窃盗,オートバイ盗,西新井,江北交番,131211.0,東京都,足立区,江北１丁目,2021/8/14,6,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
231,窃盗,オートバイ盗,西新井,江北交番,131211.0,東京都,足立区,江北４丁目,2021/8/2,3,４階建て以上共同住宅,その他,キーあり,なし,原動機付自転車（50cc以下）
232,窃盗,オートバイ盗,西新井,江北交番,131211.0,東京都,足立区,江北４丁目,2021/12/17,23,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
233,窃盗,オートバイ盗,西新井,西新井駅前交番,131211.0,東京都,足立区,西新井栄町１丁目,2020/4/15,19,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
234,窃盗,オートバイ盗,西新井,関原三丁目交番,131211.0,東京都,足立区,関原２丁目,2021/1/9,17,一戸建住宅,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
235,窃盗,オートバイ盗,西新井,鹿浜交番,131211.0,東京都,足立区,鹿浜１丁目,2021/6/1,不明,一戸建住宅,その他,キーなし,あり,自動二輪（50cc超）
236,窃盗,オートバイ盗,西新井,鹿浜交番,131211.0,東京都,足立区,鹿浜１丁目,2021/11/12,16,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
237,窃盗,オートバイ盗,西新井,鹿浜交番,131211.0,東京都,足立区,鹿浜４丁目,2021/5/31,18,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
238,窃盗,オートバイ盗,西新井,鹿浜交番,131211.0,東京都,足立区,椿２丁目,2021/5/6,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
239,窃盗,オートバイ盗,西新井,鹿浜交番,131211.0,東京都,足立区,堀之内１丁目,2021/12/16,20,その他,その他,キーあり,なし,自動二輪（50cc超）
240,窃盗,オートバイ盗,綾瀬,一ツ家交番,131211.0,東京都,足立区,加平２丁目,2021/8/14,13,その他,その他,キーなし,なし,自動二輪（50cc超）
241,窃盗,オートバイ盗,綾瀬,中央本町交番,131211.0,東京都,足立区,平野１丁目,2021/5/1,19,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
242,窃盗,オートバイ盗,綾瀬,中央本町交番,131211.0,東京都,足立区,保塚町,2021/5/15,3,その他の住宅（３階建て以下共同住宅等）,その他,キーなし,なし,原動機付自転車（50cc以下）
243,窃盗,オートバイ盗,綾瀬,中川交番,131211.0,東京都,足立区,中川３丁目,2021/12/29,7,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
244,窃盗,オートバイ盗,綾瀬,大谷田交番,131211.0,東京都,足立区,大谷田１丁目,2021/1/16,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
245,窃盗,オートバイ盗,綾瀬,大谷田交番,131211.0,東京都,足立区,大谷田５丁目,2021/9/19,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
246,窃盗,オートバイ盗,綾瀬,東和交番,131211.0,東京都,足立区,東和１丁目,2021/4/30,5,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
247,窃盗,オートバイ盗,綾瀬,東和交番,131211.0,東京都,足立区,東和３丁目,2021/4/29,13,その他,その他,キーなし,なし,自動二輪（50cc超）
248,窃盗,オートバイ盗,綾瀬,綾瀬六丁目交番,131211.0,東京都,足立区,東綾瀬３丁目,2021/10/15,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
249,窃盗,オートバイ盗,綾瀬,綾瀬六丁目交番,131211.0,東京都,足立区,谷中２丁目,2021/5/6,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
250,窃盗,オートバイ盗,綾瀬,綾瀬駅東口交番,131211.0,東京都,足立区,綾瀬３丁目,2021/6/19,23,駐車（輪）場,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
251,窃盗,オートバイ盗,綾瀬,綾瀬駅東口交番,131211.0,東京都,足立区,東綾瀬１丁目,2021/8/29,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
252,窃盗,オートバイ盗,綾瀬,綾瀬駅西口交番,131211.0,東京都,足立区,西綾瀬３丁目,2021/1/6,17,道路上,その他,キーあり,なし,原動機付自転車（50cc以下）
253,窃盗,オートバイ盗,綾瀬,足立四丁目交番,131211.0,東京都,足立区,足立４丁目,2021/7/25,13,その他,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
254,窃盗,オートバイ盗,綾瀬,足立四丁目交番,131211.0,東京都,足立区,弘道１丁目,2021/4/10,18,道路上,その他,キーあり,なし,自動二輪（50cc超）
255,窃盗,オートバイ盗,綾瀬,足立四丁目交番,131211.0,東京都,足立区,弘道２丁目,2021/5/29,7,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
256,窃盗,オートバイ盗,竹の塚,保木間交番,131211.0,東京都,足立区,保木間４丁目,2021/1/17,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
257,窃盗,オートバイ盗,竹の塚,竹の塚駅前交番,131211.0,東京都,足立区,竹の塚２丁目,2021/9/22,23,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
258,窃盗,オートバイ盗,竹の塚,竹の塚駅前交番,131211.0,東京都,足立区,竹の塚５丁目,2021/5/4,0,その他,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
259,窃盗,オートバイ盗,竹の塚,竹の塚駅前交番,131211.0,東京都,足立区,竹の塚７丁目,2021/4/4,21,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
260,窃盗,オートバイ盗,竹の塚,花畑交番,131211.0,東京都,足立区,花畑１丁目,2021/2/16,20,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
261,窃盗,オートバイ盗,竹の塚,花畑交番,131211.0,東京都,足立区,花畑２丁目,2021/2/16,20,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
262,窃盗,オートバイ盗,竹の塚,花畑交番,131211.0,東京都,足立区,花畑３丁目,2021/2/26,6,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
263,窃盗,オートバイ盗,竹の塚,花畑交番,131211.0,東京都,足立区,花畑６丁目,2021/3/30,6,駐車（輪）場,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
264,窃盗,オートバイ盗,竹の塚,花畑交番,131211.0,東京都,足立区,南花畑４丁目,2020/12/9,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
265,窃盗,オートバイ盗,竹の塚,西保木間交番,131211.0,東京都,足立区,花畑５丁目,2021/5/7,15,４階建て以上共同住宅,その他,キーなし,なし,自動二輪（50cc超）
266,窃盗,オートバイ盗,竹の塚,西保木間交番,131211.0,東京都,足立区,保木間４丁目,2021/5/9,17,一戸建住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
267,窃盗,オートバイ盗,竹の塚,西保木間交番,131211.0,東京都,足立区,保木間５丁目,2021/11/16,22,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
268,窃盗,オートバイ盗,城東,亀戸交番,131083.0,東京都,江東区,亀戸９丁目,2021/11/1,8,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
269,窃盗,オートバイ盗,城東,亀戸駅前交番,131083.0,東京都,江東区,亀戸４丁目,2021/10/7,4,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
270,窃盗,オートバイ盗,城東,北砂五丁目交番,131083.0,東京都,江東区,北砂５丁目,2019/10/1,不明,４階建て以上共同住宅,その他,キーあり,なし,自動二輪（50cc超）
271,窃盗,オートバイ盗,城東,北砂五丁目交番,131083.0,東京都,江東区,北砂５丁目,2021/7/13,20,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
272,窃盗,オートバイ盗,城東,北砂五丁目交番,131083.0,東京都,江東区,北砂５丁目,2021/10/24,7,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
273,窃盗,オートバイ盗,城東,北砂五丁目交番,131083.0,東京都,江東区,北砂６丁目,2021/5/30,23,道路上,その他,キーなし,なし,原動機付自転車（50cc以下）
274,窃盗,オートバイ盗,城東,大島交番,131083.0,東京都,江東区,大島４丁目,2021/10/5,15,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
275,窃盗,オートバイ盗,城東,日曹橋交番,131083.0,東京都,江東区,新砂２丁目,2021/2/3,15,駐車（輪）場,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
276,窃盗,オートバイ盗,城東,日曹橋交番,131083.0,東京都,江東区,南砂２丁目,2021/3/2,16,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
277,窃盗,オートバイ盗,城東,番所橋交番,131083.0,東京都,江東区,東砂２丁目,2019/4/1,8,４階建て以上共同住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
278,窃盗,オートバイ盗,城東,番所橋交番,131083.0,東京都,江東区,東砂２丁目,2019/4/1,8,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
279,窃盗,オートバイ盗,城東,番所橋交番,131083.0,東京都,江東区,東砂３丁目,2020/12/11,不明,４階建て以上共同住宅,その他,キーなし,なし,原動機付自転車（50cc以下）
280,窃盗,オートバイ盗,城東,砂町交番,131083.0,東京都,江東区,北砂４丁目,2021/5/17,21,一戸建住宅,その他,キーあり,なし,自動二輪（50cc超）
281,窃盗,オートバイ盗,城東,砂町交番,131083.0,東京都,江東区,北砂４丁目,2021/7/7,15,一戸建住宅,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
282,窃盗,オートバイ盗,城東,葛西橋西交番,131083.0,東京都,江東区,東砂５丁目,2021/12/12,20,一戸建住宅,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
283,窃盗,オートバイ盗,城東,葛西橋西交番,131083.0,東京都,江東区,東砂６丁目,2021/11/11,17,その他,その他,キーなし,なし,自動二輪（50cc超）
284,窃盗,オートバイ盗,城東,進開橋交番,131083.0,東京都,江東区,大島４丁目,2021/1/22,5,その他,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
285,窃盗,オートバイ盗,城東,進開橋交番,131083.0,東京都,江東区,大島４丁目,2021/3/3,18,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
286,窃盗,オートバイ盗,城東,進開橋交番,131083.0,東京都,江東区,大島４丁目,2021/3/6,0,道路上,その他,キーあり,なし,自動二輪（50cc超）
287,窃盗,オートバイ盗,城東,進開橋交番,131083.0,東京都,江東区,大島４丁目,2021/5/13,16,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,原動機付自転車（50cc以下）
288,窃盗,オートバイ盗,城東,進開橋交番,131083.0,東京都,江東区,大島４丁目,2021/11/18,14,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
